RecordID,StreetID,Date,VehicleID,JobID,Grease
335,4490,30/11/2009,3,3,FALSE
336,4490,30/11/2009,3,3,FALSE
337,4490,30/11/2009,3,3,FALSE
338,4662,08/12/2009,3,2,FALSE
339,4662,08/12/2009,3,2,FALSE
340,4490,07/12/2009,3,3,FALSE
341,8213,02/12/2009,9,1,FALSE
342,8053,02/12/2009,9,1,FALSE
343,7906,03/12/2009,8,1,FALSE
344,7905,03/12/2009,8,1,FALSE
345,7905,03/12/2009,8,1,FALSE
346,7905,03/12/2009,8,2,FALSE
347,7906,02/12/2009,8,1,FALSE
348,7906,02/12/2009,8,1,FALSE
349,8053,09/11/1931,9,1,FALSE
350,7568,04/11/2009,9,1,FALSE
351,7908,04/12/2009,8,1,FALSE
352,8494,06/12/2009,8,1,FALSE
353,8494,06/12/2009,,2,FALSE
354,6882,06/12/2009,10,1,FALSE
355,8636,08/12/2009,9,1,FALSE
356,7069,09/12/2009,9,2,TRUE
357,7929,07/12/2009,10,2,FALSE
358,4662,08/12/2009,10,1,FALSE
359,6740,08/12/2009,10,1,FALSE
360,6740,08/12/2009,10,1,FALSE
361,6770,09/12/2009,10,2,FALSE
362,6878,09/12/2009,10,2,TRUE
363,7069,10/12/2009,9,2,FALSE
364,7568,10/12/2009,9,1,FALSE
365,7908,14/12/2009,8,1,FALSE
366,7789,14/12/2009,9,2,TRUE
367,6770,10/12/2009,10,2,FALSE
368,7779,10/12/2009,10,1,FALSE
369,7789,11/12/2009,9,2,TRUE
370,5177,15/12/2009,4,11,FALSE
371,5471,15/12/2009,4,11,FALSE
372,5988,15/12/2009,4,4,FALSE
373,6022,15/12/2009,2,7,FALSE
374,4889,15/12/2009,6,11,FALSE
375,5583,14/12/2009,4,11,FALSE
376,4524,14/12/2009,4,2,FALSE
377,5221,14/12/2009,4,11,FALSE
378,5815,14/12/2009,6,11,FALSE
379,5841,14/12/2009,6,4,FALSE
380,6497,13/12/2009,1,3,FALSE
381,5200,11/12/2009,1,3,FALSE
382,6483,11/12/2009,1,11,FALSE
383,5381,10/12/2009,1,3,FALSE
384,4611,10/12/2009,1,2,FALSE
385,4679,10/12/2009,1,3,FALSE
386,6878,13/12/2009,2,3,FALSE
387,4547,09/12/2009,3,2,FALSE
388,4449,09/12/2009,3,12,FALSE
389,4437,09/12/2009,3,12,FALSE
390,6256,10/12/2009,3,7,FALSE
391,6608,10/12/2009,3,3,FALSE
392,6608,11/12/2009,3,3,FALSE
393,7789,12/12/2009,3,2,FALSE
394,6878,12/12/2009,3,11,FALSE
395,5173,12/12/2009,3,11,FALSE
396,7782,13/12/2009,3,11,FALSE
397,6608,13/12/2009,3,3,FALSE
398,4428,13/12/2009,2,3,FALSE
399,5668,16/12/2009,2,1,FALSE
400,5841,16/12/2009,6,4,FALSE
401,5815,16/12/2009,6,10,FALSE
402,5243,16/12/2009,6,11,FALSE
403,5988,16/12/2009,4,4,FALSE
404,5988,16/12/2009,4,4,FALSE
405,5372,16/12/2009,4,4,FALSE
406,5372,16/12/2009,4,4,FALSE
407,5243,16/12/2009,4,4,FALSE
408,6249,16/12/2009,4,4,FALSE
409,6249,16/12/2009,4,4,FALSE
410,6249,16/12/2009,4,4,FALSE
411,6190,16/12/2009,4,4,FALSE
412,6143,16/12/2009,4,11,FALSE
413,5668,14/12/2009,3,1,FALSE
414,5668,15/12/2009,3,1,FALSE
415,4534,16/12/2009,3,3,FALSE
416,4611,16/12/2009,3,3,FALSE
417,7225,16/12/2009,9,1,FALSE
418,7446,16/12/2009,9,1,FALSE
419,7780,16/12/2009,8,1,FALSE
420,7779,16/12/2009,8,1,FALSE
421,7779,16/12/2009,8,1,FALSE
422,7568,15/12/2009,9,1,FALSE
423,7450,15/12/2009,9,1,FALSE
424,7780,15/12/2009,8,1,FALSE
425,7780,15/12/2009,8,1,FALSE
426,7770,15/12/2009,8,1,FALSE
427,4659,17/12/2009,5,4,FALSE
428,4659,17/12/2009,5,4,FALSE
429,4639,17/12/2009,5,4,FALSE
430,4924,17/12/2009,5,11,FALSE
431,6684,17/12/2009,4,10,FALSE
432,5895,17/12/2009,6,12,FALSE
433,5846,17/12/2009,6,11,FALSE
434,6709,17/12/2009,6,11,FALSE
435,4539,17/12/2009,2,7,FALSE
436,6882,20/12/2009,10,5,TRUE
437,5826,19/12/2009,8,1,FALSE
438,5826,19/12/2009,,1,FALSE
439,6858,20/12/2009,8,1,FALSE
440,7779,18/12/2009,8,1,FALSE
441,5673,14/12/2009,1,7,FALSE
442,7276,14/12/2009,1,2,FALSE
443,5706,15/12/2009,1,,FALSE
444,5706,15/12/2009,1,15,FALSE
445,5760,15/12/2009,1,3,FALSE
446,5700,15/12/2009,1,11,FALSE
447,6608,15/12/2009,1,3,FALSE
448,5988,16/12/2009,4,4,FALSE
449,5372,16/12/2009,4,4,FALSE
450,5372,16/12/2009,4,4,FALSE
451,5988,16/12/2009,4,4,FALSE
452,5372,16/12/2009,4,4,FALSE
453,5243,16/12/2009,4,4,FALSE
454,6190,16/12/2009,4,4,FALSE
455,6249,16/12/2009,4,4,FALSE
456,6249,16/12/2009,4,4,FALSE
457,6249,16/12/2009,4,4,FALSE
458,4474,18/12/2009,5,11,FALSE
459,4524,18/12/2009,5,11,FALSE
460,5177,18/12/2009,4,11,FALSE
461,5022,18/12/2009,4,11,FALSE
462,4539,18/12/2009,2,7,FALSE
463,5700,16/12/2009,1,11,FALSE
464,8751,17/12/2009,9,6,TRUE
465,7908,17/12/2009,9,2,FALSE
466,5826,17/12/2009,9,1,FALSE
467,7779,17/12/2009,8,3,FALSE
468,7779,17/12/2009,8,3,FALSE
469,6607,18/12/2009,6,11,FALSE
470,4524,18/12/2009,1,3,FALSE
471,8512,18/12/2009,1,2,FALSE
472,5872,17/12/2009,1,3,FALSE
473,6173,17/12/2009,1,10,FALSE
474,6608,17/12/2009,1,3,FALSE
475,5471,17/12/2009,1,12,FALSE
476,4638,21/12/2009,3,1,FALSE
477,6570,21/12/2009,3,3,FALSE
478,4611,17/12/2009,3,2,FALSE
479,5866,21/12/2009,1,3,FALSE
480,4684,21/12/2009,5,11,FALSE
481,5706,21/12/2009,5,4,FALSE
482,5682,21/12/2009,5,4,FALSE
483,5841,21/12/2009,6,4,FALSE
484,5841,21/12/2009,6,4,FALSE
485,5815,21/12/2009,6,11,FALSE
486,5017,21/12/2009,6,11,FALSE
487,6110,21/12/2009,6,11,FALSE
488,4539,21/12/2009,2,7,FALSE
489,5377,22/12/2009,5,11,FALSE
490,6061,22/12/2009,2,3,FALSE
491,5099,22/12/2009,1,3,FALSE
492,5099,23/12/2009,1,3,FALSE
493,4662,23/12/2009,3,10,FALSE
494,6608,23/12/2009,3,10,FALSE
495,5333,23/12/2009,3,2,FALSE
496,5332,26/12/2009,2,13,FALSE
497,5005,24/12/2009,2,3,FALSE
498,6179,24/12/2009,2,2,FALSE
499,4655,23/12/2009,6,2,FALSE
500,4490,23/12/2009,2,2,FALSE
501,5841,23/12/2009,6,4,FALSE
502,5815,23/12/2009,6,11,FALSE
503,4638,23/12/2009,2,1,FALSE
504,6134,23/12/2009,4,11,FALSE
505,5333,23/12/2009,4,2,FALSE
506,6143,23/12/2009,4,11,FALSE
507,6497,27/12/2009,1,3,FALSE
508,8512,27/12/2009,1,11,FALSE
509,4602,27/12/2009,3,2,FALSE
510,4490,27/12/2009,3,3,FALSE
511,4490,27/12/2009,3,3,FALSE
512,6608,27/12/2009,3,3,FALSE
513,4428,27/12/2009,2,3,FALSE
514,4428,27/12/2009,2,3,FALSE
515,4889,27/12/2009,2,2,FALSE
516,4953,27/12/2009,2,2,FALSE
517,5815,27/12/2009,4,11,FALSE
518,5142,27/12/2009,4,2,FALSE
519,6128,28/12/2009,6,11,FALSE
520,7703,28/12/2009,6,11,FALSE
521,5041,28/12/2009,6,11,FALSE
522,4602,29/12/2009,3,11,FALSE
523,5374,29/12/2009,3,2,FALSE
524,6608,29/12/2009,3,10,FALSE
525,5199,29/12/2009,3,3,FALSE
526,5841,29/12/2009,6,4,FALSE
527,5815,29/12/2009,6,11,FALSE
528,5374,29/12/2009,6,2,FALSE
529,6151,29/12/2009,6,2,FALSE
530,5124,29/12/2009,6,11,FALSE
531,,,,,FALSE
532,5841,30/12/2009,4,11,FALSE
533,5815,30/12/2009,4,11,FALSE
534,4941,30/12/2009,4,11,FALSE
535,6197,30/12/2009,4,12,FALSE
536,6060,30/12/2009,4,12,FALSE
537,8167,30/12/2009,4,11,FALSE
538,5134,31/12/2009,4,7,FALSE
539,5192,31/12/2009,4,11,FALSE
540,6137,31/12/2009,4,12,FALSE
541,6159,31/12/2009,4,12,FALSE
542,6415,31/12/2009,4,12,FALSE
543,4478,31/12/2009,3,12,FALSE
544,5192,31/12/2009,3,2,FALSE
545,5335,31/12/2009,3,11,FALSE
546,4602,30/12/2009,3,11,FALSE
547,5374,30/12/2009,3,7,FALSE
548,5355,30/12/2009,3,12,FALSE
549,6381,30/12/2009,3,12,FALSE
550,5440,30/12/2009,3,12,FALSE
551,5200,04/01/2010,1,3,FALSE
552,5165,04/01/2010,6,11,FALSE
553,6151,04/01/2010,6,11,FALSE
554,4428,04/01/2010,2,10,FALSE
555,4428,04/01/2010,2,3,FALSE
556,4428,04/01/2010,2,3,FALSE
557,4751,04/01/2010,5,4,FALSE
558,4639,04/01/2010,5,12,FALSE
559,5706,04/01/2010,5,4,FALSE
560,5612,04/01/2010,5,4,FALSE
561,5532,,5,4,FALSE
562,6116,04/01/2010,4,2,FALSE
563,5372,04/01/2010,4,4,FALSE
564,5988,04/01/2010,4,4,FALSE
565,5988,04/01/2010,4,4,FALSE
566,5988,04/01/2010,4,4,FALSE
567,5372,04/01/2010,4,4,FALSE
568,5415,04/01/2010,4,4,FALSE
569,5375,04/01/2010,4,4,FALSE
570,5270,04/01/2010,4,4,FALSE
571,6817,04/01/2010,3,3,FALSE
572,6817,04/01/2010,3,3,FALSE
573,6817,04/01/2010,3,3,FALSE
574,6793,04/01/2010,3,3,FALSE
575,6793,05/01/2010,3,3,FALSE
576,5200,05/01/2010,1,3,FALSE
577,4428,05/01/2010,2,3,FALSE
578,6793,05/01/2010,2,3,FALSE
579,6151,05/01/2010,2,3,FALSE
580,6583,05/01/2010,6,11,FALSE
581,6151,05/01/2010,6,3,FALSE
582,5409,05/01/2010,4,4,FALSE
583,5381,05/01/2010,4,4,FALSE
584,6249,05/01/2010,4,3,FALSE
585,6249,05/01/2010,4,4,FALSE
586,6249,05/01/2010,4,4,FALSE
587,6249,05/01/2010,4,4,FALSE
588,5049,05/01/2010,4,11,FALSE
589,5142,05/01/2010,4,11,FALSE
590,6190,05/01/2010,4,4,FALSE
591,5243,05/01/2010,4,4,FALSE
592,5457,05/01/2010,4,11,FALSE
593,4974,05/01/2010,4,11,FALSE
594,4646,05/01/2010,5,4,FALSE
595,4639,05/01/2010,5,4,FALSE
596,4659,05/01/2010,5,4,FALSE
597,4987,06/01/2010,2,2,FALSE
598,5459,06/01/2010,2,2,FALSE
599,5841,06/01/2010,6,4,FALSE
600,5815,06/01/2010,6,11,FALSE
601,5826,06/01/2010,9,1,FALSE
602,7760,06/01/2010,8,2,FALSE
603,6771,06/01/2010,8,2,FALSE
604,6890,05/01/2010,8,2,FALSE
605,6771,05/01/2010,8,3,FALSE
606,8768,30/12/2009,,12,FALSE
607,5849,31/12/2009,,,FALSE
608,5849,31/12/2009,11,16,FALSE
609,7966,31/12/2009,11,16,FALSE
610,8002,31/12/2009,11,16,FALSE
611,7650,31/12/2009,11,12,FALSE
612,7821,31/12/2009,11,12,FALSE
613,5243,31/12/2009,11,12,FALSE
614,5251,02/01/2010,11,3,FALSE
615,6771,04/01/2010,8,3,FALSE
616,8060,04/01/2010,8,3,FALSE
617,5826,05/01/2010,9,1,FALSE
618,5826,04/01/2010,9,1,FALSE
619,5797,09/01/2010,1,2,FALSE
620,4998,07/01/2010,3,3,FALSE
621,5872,08/01/2010,3,12,FALSE
622,5872,08/01/2010,3,12,FALSE
623,5847,08/01/2010,3,12,FALSE
624,5856,08/01/2010,3,12,FALSE
625,5432,08/01/2010,3,12,FALSE
626,5532,08/01/2010,5,4,FALSE
627,5841,08/01/2010,6,4,FALSE
628,5815,08/01/2010,6,10,FALSE
629,5005,06/01/2010,1,3,FALSE
630,5841,07/01/2010,6,4,FALSE
631,5815,07/01/2010,6,11,FALSE
632,6608,07/01/2010,2,3,FALSE
633,6817,06/01/2010,3,2,FALSE
634,5583,06/01/2010,3,12,FALSE
635,5607,06/01/2010,3,12,FALSE
636,5851,06/01/2010,3,12,FALSE
637,5200,06/01/2010,1,3,FALSE
638,5294,11/01/2010,2,2,FALSE
639,5841,11/01/2010,6,4,FALSE
640,5815,11/01/2010,6,11,FALSE
641,5607,11/01/2010,5,12,FALSE
642,5706,11/01/2010,5,4,FALSE
643,5696,11/01/2010,5,11,FALSE
644,4611,11/01/2010,5,4,FALSE
645,4751,11/01/2010,5,4,FALSE
646,4710,11/01/2010,5,4,FALSE
647,5582,11/01/2010,5,12,FALSE
648,4849,12/01/2010,2,12,FALSE
649,5224,12/01/2010,2,2,FALSE
650,5224,12/01/2010,2,12,FALSE
651,6168,12/01/2010,2,12,FALSE
652,6261,12/01/2010,4,11,FALSE
653,5583,12/01/2010,5,4,FALSE
654,5612,12/01/2010,5,4,FALSE
655,5841,12/01/2010,6,4,FALSE
656,5815,12/01/2010,6,10,FALSE
657,5688,12/01/2010,6,4,FALSE
658,5504,12/01/2010,6,4,FALSE
659,5504,12/01/2010,6,4,FALSE
660,5208,12/01/2010,6,2,FALSE
661,8578,,,,FALSE
662,6608,13/01/2010,2,5,TRUE
663,5224,13/01/2010,2,3,FALSE
664,4434,13/01/2010,5,11,FALSE
665,4884,13/01/2010,5,11,FALSE
666,4655,13/01/2010,5,11,FALSE
667,5841,13/01/2010,6,4,FALSE
668,5815,13/01/2010,6,11,FALSE
669,6571,13/01/2010,6,12,FALSE
670,5988,13/01/2010,4,4,FALSE
